,elevation,latitude,longitude,network,station
380,1037.0,35.08691,-119.53593,CI,TM3
381,4.0,33.57526,-116.22584,CI,TOR
382,298.0,34.15607,-118.82039,CI,TOV
383,653.0,35.80885,-117.76493,CI,TOW
384,685.0,35.80856,-117.76488,CI,TOW2
385,686.0,34.10564,-116.04939,CI,TPC
386,1049.0,34.36266,-116.08201,CI,TPM
387,769.0,34.87883,-118.22864,CI,TPO
388,1350.0,35.43584,-115.92389,CI,TUQ
389,14.0,34.413,-119.8427,CI,USB
390,58.0,34.01919,-118.28631,CI,USC
391,992.0,34.48372,-118.11781,CI,VCS
392,154.0,35.84089,-119.08469,CI,VES
393,445.0,33.73615,-117.15806,CI,VLY
394,90.0,36.32098,-119.38226,CI,VOG
395,843.0,34.56065,-117.3296,CI,VTV
396,451.0,34.4435,-118.66332,CI,VVD
397,1828.0,35.7377,-118.55743,CI,WAS
398,1828.0,35.7377,-118.55743,CI,WAS2
399,892.0,35.60839,-117.89049,CI,WBM
400,1927.0,35.53664,-118.14035,CI,WBS
401,2461.0,35.87887,-118.07405,CI,WCH
402,1135.0,36.02702,-117.76761,CI,WCS
403,1143.0,36.02521,-117.76526,CI,WCS2
404,130.0,35.06053,-119.02711,CI,WER
405,-8.0,32.75904,-115.73161,CI,WES
406,554.0,34.51085,-119.27407,CI,WGR
407,859.0,35.69513,-118.35183,CI,WHF
408,-97.0,33.27614,-115.58154,CI,WI2
409,2645.0,36.15243,-118.31312,CI,WLH
410,2672.0,36.152072,-118.313186,CI,WLH2
411,890.0,34.57895,-117.71934,CI,WLS
412,889.0,34.578987,-117.719386,CI,WLS2
413,107.0,34.00948,-117.95077,CI,WLT
414,-45.0,33.03826,-115.58191,CI,WMD
415,1513.0,36.11774,-117.85484,CI,WMF
416,1537.4,36.11758,-117.85486,CI,WMF
417,974.3,35.8422,-117.90616,CI,WNM
418,248.0,34.115,-118.38,CI,WNS
419,1306.0,35.53545,-118.71352,CI,WOF
420,795.0,35.69563,-118.24246,CI,WOR
421,930.0,35.94896,-117.64787,CI,WRC
422,943.0,35.9479,-117.65038,CI,WRC2
423,1039.0,36.00783,-117.89056,CI,WRV
424,1070.0,36.00774,-117.8904,CI,WRV2
425,764.0,35.59962,-117.49265,CI,WSH
426,316.0,34.1717,-118.64971,CI,WSS
427,37.0,33.94869,-118.25547,CI,WTT
428,37.0,33.94867,-118.25539,CI,WTT2
429,1435.0,35.94945,-117.81724,CI,WVP
430,1465.0,35.94939,-117.81769,CI,WVP2
431,619.0,33.94068,-116.40876,CI,WWC
432,-61.0,33.27884,-115.57888,CI,WWF
433,1117.0,35.73556,-118.08806,CI,WWP
434,1643.0,34.29597,-117.86223,CI,XTL
435,907.0,35.43658,-119.96009,CI,YEG
436,39.0,32.55395,-114.55352,CI,YMD
437,1077.0,34.19675,-116.40576,CI,YUC
438,158.0,32.64729,-115.92253,CI,YUH
439,184.0,32.64752,-115.92227,CI,YUH2
